날짜,가격,총반입량,기온,강수량,환율,경유가격
2020-12-31,6072.0,62.0,-6.433333333,0.5,1086.420044,1220.0
2021-01-01,6072.0,62.0,-2.866666667,0.2,1084.650024,1224.0
2021-01-02,6072.0,62.0,-1.9,0.0333333333,1084.650024,1226.0
2021-01-03,6072.0,62.0,-3.1,0.0,1084.650024,1227.0
2021-01-04,5958.0,262.0,-2.033333333,0.0,1084.72998,1229.0
2021-01-05,5958.0,188.0,-2.033333333,0.0666666667,1086.619995,1231.0
2021-01-06,5931.0,226.0,-4.733333333,0.6,1086.449951,1232.0
2021-01-07,5979.0,144.0,-10.86666667,1.9,1086.949951,1234.0
2021-01-08,5979.0,94.0,-13.13333333,0.2,1093.069946,1235.0
2021-01-09,5979.0,61.0,-10.33333333,0.0333333333,1093.069946,1236.0
2021-01-10,5979.0,61.0,-7.5,0.0,1093.069946,1237.0
2021-01-11,5979.0,161.0,-5.733333333,0.0,1092.819946,1238.0
2021-01-12,6035.0,186.0,-3.8,0.966666667,1096.449951,1239.0
2021-01-13,6042.0,216.0,2.866666667,0.0,1093.540039,1240.0
2021-01-14,6114.0,184.0,2.833333333,0.0,1097.109985,1242.0
2021-01-15,6122.0,178.0,5.7,0.0,1094.900024,1244.0
2021-01-16,6122.0,166.0,-1.2,0.0,1094.900024,1245.0
2021-01-17,6122.0,166.0,-3.166666667,0.166666667,1094.900024,1245.0
2021-01-18,6148.0,252.0,-0.8,2.1,1102.959961,1246.0
2021-01-19,6156.0,194.0,-4.7,0.0,1103.099976,1247.0
2021-01-20,6213.0,213.0,0.566666667,0.0,1100.98999,1248.0
2021-01-21,6369.0,126.0,5.633333333,6.033333333,1096.25,1249.0
2021-01-22,6389.0,147.0,6.833333333,1.9,1099.900024,1249.0
2021-01-23,6389.0,102.0,8.166666667,4.633333333,1099.900024,1250.0
2021-01-24,6389.0,102.0,6.966666667,0.0,1099.900024,1250.0
2021-01-25,6484.0,232.0,6.033333333,0.0,1104.640015,1250.0
2021-01-26,6531.0,181.0,5.033333333,5.5,1101.72998,1250.0
2021-01-27,6531.0,176.0,3.133333333,0.0,1101.0,1251.0
2021-01-28,6522.0,145.0,-1.166666667,1.366666667,1107.5,1251.0
2021-01-29,6522.0,155.0,-5.0,0.0666666667,1112.290039,1251.0
2021-01-30,6522.0,141.0,-0.0666666667,0.1,1112.290039,1251.0
2021-01-31,6522.0,141.0,4.066666667,1.033333333,1112.290039,1251.0
2021-02-01,6526.0,157.0,6.7,7.733333333,1117.430054,1252.0
2021-02-02,6460.0,136.0,-2.433333333,0.2,1116.880005,1252.0
2021-02-03,6460.0,166.0,-1.566666667,1.166666667,1113.609985,1252.0
2021-02-04,6462.0,139.0,-0.566666667,1.1,1113.150024,1252.0
2021-02-05,6441.0,166.0,0.633333333,0.0,1119.130005,1253.0
2021-02-06,6441.0,125.0,5.466666667,0.0,1119.130005,1253.0
2021-02-07,6441.0,125.0,5.233333333,0.0,1119.130005,1253.0
2021-02-08,6453.0,206.0,-0.966666667,0.0,1116.849976,1254.0
2021-02-09,6381.0,171.0,-0.5,0.0,1116.329956,1255.0
2021-02-10,6362.0,129.0,1.4,0.0,1110.0,1257.0
2021-02-11,6362.0,0.0,3.833333333,0.0,1103.97998,1258.0
2021-02-12,6362.0,0.0,5.266666667,0.0,1102.219971,1259.0
2021-02-13,6362.0,0.0,5.733333333,0.0,1102.219971,1259.0
2021-02-14,6362.0,0.0,8.4,0.266666667,1102.219971,1259.0
2021-02-15,6438.0,143.0,2.633333333,0.3,1103.369995,1261.0
2021-02-16,6438.0,72.0,-1.666666667,1.966666667,1102.23999,1263.0
2021-02-17,6405.0,176.0,-5.633333333,1.1,1106.459961,1264.0
2021-02-18,6335.0,112.0,-3.4,0.0,1104.550049,1266.0
2021-02-19,6335.0,126.0,2.466666667,0.0,1106.219971,1268.0
2021-02-20,6335.0,131.0,8.833333333,0.0,1106.219971,1269.0
2021-02-21,6335.0,131.0,12.23333333,0.0,1106.219971,1270.0
2021-02-22,6373.0,166.0,8.666666667,0.0,1103.939941,1271.0
2021-02-23,6403.0,122.0,1.9,0.0,1110.670044,1273.0
2021-02-24,6447.0,192.0,3.0,0.0,1109.310059,1274.0
2021-02-25,6584.0,144.0,4.566666667,4.6,1107.209961,1276.0
2021-02-26,6642.0,152.0,8.366666667,0.7,1119.130005,1277.0
2021-02-27,6642.0,103.0,8.466666667,0.0333333333,1119.130005,1279.0
2021-02-28,6642.0,103.0,7.733333333,0.0,1119.130005,1279.0
2021-03-01,6642.0,174.0,8.466666667,51.26666667,1123.369995,1281.0
2021-03-02,6608.0,130.0,3.0,0.3,1101.829956,1283.0
2021-03-03,6628.0,148.0,3.633333333,0.0,1124.329956,1284.0
2021-03-04,6677.0,136.0,6.2,4.8,1129.5,1285.0
2021-03-05,6677.0,139.0,8.333333333,0.0333333333,1133.349976,1287.0
2021-03-06,6677.0,93.0,6.7,0.0,1133.349976,1290.0
2021-03-07,6677.0,93.0,6.633333333,0.0,1133.349976,1292.0
2021-03-08,6677.0,142.0,6.3,0.0,1127.48999,1295.0
2021-03-09,6713.0,138.0,6.133333333,0.0,1140.22998,1298.0
2021-03-10,6721.0,160.0,7.666666667,0.0,1134.910034,1301.0
2021-03-11,6350.0,149.0,9.533333333,2.2,1136.01001,1304.0
2021-03-12,6350.0,114.0,8.9,7.166666667,1129.640015,1306.0
2021-03-13,6350.0,101.0,8.233333333,0.0,1129.640015,1309.0
2021-03-14,6350.0,101.0,7.4,0.0,1129.640015,1311.0
2021-03-15,6322.0,175.0,10.16666667,0.233333333,1134.5,1313.0
