날짜,가격,총반입량,기온,강수량,환율,경유가격
2020-12-31,2921.0,100.0,-4.4,0.15,1086.420044,1220.0
2021-01-01,2921.0,100.0,-1.3,0.0,1084.650024,1224.0
2021-01-02,2921.0,100.0,-0.7,0.0,1084.650024,1226.0
2021-01-03,2921.0,100.0,-1.3,0.0,1084.650024,1227.0
2021-01-04,2936.0,297.0,0.45,0.0,1084.72998,1229.0
2021-01-05,2953.0,368.0,-0.65,0.0,1086.619995,1231.0
2021-01-06,2968.0,413.0,-3.4,0.1,1086.449951,1232.0
2021-01-07,2976.0,156.0,-9.2,0.4,1086.949951,1234.0
2021-01-08,2982.0,97.0,-11.25,0.2,1093.069946,1235.0
2021-01-09,2982.0,6.0,-8.1,0.05,1093.069946,1236.0
2021-01-10,2982.0,6.0,-4.7,0.0,1093.069946,1237.0
2021-01-11,3019.0,126.0,-2.6,0.0,1092.819946,1238.0
2021-01-12,3019.0,281.0,-1.0,0.0,1096.449951,1239.0
2021-01-13,3000.0,102.0,4.25,0.0,1093.540039,1240.0
2021-01-14,2999.0,303.0,4.55,0.0,1097.109985,1242.0
2021-01-15,2999.0,240.0,7.6,0.0,1094.900024,1244.0
2021-01-16,2999.0,234.0,1.05,0.0,1094.900024,1245.0
2021-01-17,2999.0,234.0,-2.35,0.0,1094.900024,1245.0
2021-01-18,3007.0,356.0,0.0,0.5,1102.959961,1246.0
2021-01-19,3007.0,250.0,-3.1,0.0,1103.099976,1247.0
2021-01-20,3025.0,307.0,4.55,0.0,1100.98999,1248.0
2021-01-21,3025.0,263.0,9.45,1.85,1096.25,1249.0
2021-01-22,3054.0,332.0,8.2,2.0,1099.900024,1249.0
2021-01-23,3054.0,146.0,5.95,11.35,1099.900024,1250.0
2021-01-24,3054.0,146.0,6.2,0.6,1099.900024,1250.0
2021-01-25,3065.0,219.0,6.0,0.0,1104.640015,1250.0
2021-01-26,3065.0,378.0,6.35,4.55,1101.72998,1250.0
2021-01-27,3057.0,226.0,4.05,0.0,1101.0,1251.0
2021-01-28,3134.0,440.0,0.2,0.6,1107.5,1251.0
2021-01-29,3246.0,430.0,-4.0,0.1,1112.290039,1251.0
2021-01-30,3246.0,131.0,1.2,0.0,1112.290039,1251.0
2021-01-31,3246.0,131.0,5.45,1.55,1112.290039,1251.0
2021-02-01,3300.0,412.0,8.55,8.2,1117.430054,1252.0
2021-02-02,3340.0,370.0,-1.15,0.0,1116.880005,1252.0
2021-02-03,3401.0,360.0,-0.6,0.0,1113.609985,1252.0
2021-02-04,3399.0,346.0,1.2,0.6,1113.150024,1252.0
2021-02-05,3518.0,293.0,3.1,0.0,1119.130005,1253.0
2021-02-06,3518.0,217.0,7.15,0.0,1119.130005,1253.0
2021-02-07,3518.0,217.0,6.1,0.0,1119.130005,1253.0
2021-02-08,3610.0,420.0,0.2,0.0,1116.849976,1254.0
2021-02-09,3637.0,256.0,1.45,0.0,1116.329956,1255.0
2021-02-10,3668.0,309.0,3.55,0.0,1110.0,1257.0
2021-02-11,3668.0,20.0,6.3,0.0,1103.97998,1258.0
2021-02-12,3668.0,20.0,8.35,0.0,1102.219971,1259.0
2021-02-13,3668.0,20.0,7.6,0.0,1102.219971,1259.0
2021-02-14,3668.0,20.0,9.2,0.0,1102.219971,1259.0
2021-02-15,3704.0,226.0,4.2,0.1,1103.369995,1261.0
2021-02-16,3704.0,219.0,-0.45,0.6,1102.23999,1263.0
2021-02-17,3704.0,208.0,-4.9,0.8,1106.459961,1264.0
2021-02-18,3756.0,121.0,-2.4,0.0,1104.550049,1266.0
2021-02-19,3826.0,161.0,5.3,0.0,1106.219971,1268.0
2021-02-20,3826.0,208.0,11.8,0.0,1106.219971,1269.0
2021-02-21,3826.0,208.0,12.3,0.0,1106.219971,1270.0
2021-02-22,4172.0,447.0,7.95,0.0,1103.939941,1271.0
2021-02-23,4331.0,290.0,2.8,0.0,1110.670044,1273.0
2021-02-24,4449.0,375.0,3.2,0.0,1109.310059,1274.0
2021-02-25,4496.0,327.0,6.0,5.2,1107.209961,1276.0
2021-02-26,4461.0,268.0,7.6,1.05,1119.130005,1277.0
2021-02-27,4461.0,203.0,6.6,2.55,1119.130005,1279.0
2021-02-28,4461.0,203.0,8.8,0.0,1119.130005,1279.0
2021-03-01,4461.0,331.0,7.85,57.15,1123.369995,1281.0
2021-03-02,4533.0,356.0,2.0,4.45,1101.829956,1283.0
2021-03-03,4554.0,172.0,4.25,0.0,1124.329956,1284.0
2021-03-04,4562.0,230.0,7.9,6.2,1129.5,1285.0
2021-03-05,4448.0,226.0,10.25,0.05,1133.349976,1287.0
2021-03-06,4448.0,78.0,5.0,2.4,1133.349976,1290.0
2021-03-07,4448.0,78.0,5.7,0.15,1133.349976,1292.0
2021-03-08,4534.0,519.0,5.95,0.0,1127.48999,1295.0
2021-03-09,4553.0,304.0,8.15,0.0,1140.22998,1298.0
2021-03-10,4566.0,259.0,8.55,0.0,1134.910034,1301.0
2021-03-11,4641.0,321.0,11.8,3.3,1136.01001,1304.0
2021-03-12,4683.0,336.0,8.75,14.8,1129.640015,1306.0
2021-03-13,4683.0,45.0,7.4,0.0,1129.640015,1309.0
2021-03-14,4683.0,45.0,8.7,0.0,1129.640015,1311.0
2021-03-15,4753.0,390.0,12.15,0.15,1134.5,1313.0
2021-03-16,4772.0,299.0,10.65,3.8,1131.390015,1317.0
2021-03-17,4787.0,306.0,8.1,0.0,1129.839966,1319.0
2021-03-18,4822.0,287.0,8.9,0.0,1121.130005,1322.0
2021-03-19,4873.0,148.0,10.75,0.0,1126.109985,1324.0
2021-03-20,4873.0,72.0,8.9,11.2,1126.109985,1325.0
2021-03-21,4873.0,72.0,7.5,0.0,1126.109985,1326.0
2021-03-22,4876.0,436.0,7.55,0.0,1127.47998,1327.0
2021-03-23,4859.0,339.0,10.2,0.0,1125.119995,1329.0
2021-03-24,4881.0,277.0,12.0,0.0,1133.199951,1330.0
2021-03-25,4833.0,331.0,13.3,0.0,1134.47998,1330.0
2021-03-26,4861.0,245.0,13.4,0.0,1134.209961,1331.0
2021-03-27,4861.0,129.0,12.6,20.5,1134.209961,1331.0
2021-03-28,4861.0,129.0,12.55,0.45,1127.959961,1331.0
2021-03-29,4879.0,424.0,13.5,0.0,1131.650024,1331.0
2021-03-30,4888.0,321.0,11.7,0.0,1132.319946,1332.0
2021-03-31,5033.0,247.0,12.8,0.0,1127.199951,1332.0
2021-04-01,5081.0,292.0,13.55,0.0,1128.060059,1333.0
2021-04-02,5130.0,280.0,14.95,0.0,1128.060059,1333.0
2021-04-03,5130.0,134.0,12.95,24.35,1128.060059,1333.0
2021-04-04,5130.0,134.0,8.85,16.05,1128.790039,1333.0
2021-04-05,5164.0,450.0,9.3,0.0,1124.109985,1333.0
2021-04-06,5175.0,333.0,13.05,0.0,1117.5,1333.0
2021-04-07,5189.0,334.0,13.65,0.0,1117.859985,1333.0
2021-04-08,5206.0,231.0,11.5,0.15,1115.839966,1333.0
2021-04-09,5206.0,271.0,10.75,0.25,1115.839966,1333.0
2021-04-10,5206.0,184.0,11.25,0.0,1115.839966,1333.0
2021-04-11,5206.0,184.0,14.0,0.0,1122.060059,1333.0
2021-04-12,5227.0,515.0,14.35,13.25,1124.449951,1333.0
2021-04-13,5232.0,231.0,12.0,1.65,1120.689941,1333.0
2021-04-14,5222.0,441.0,10.3,0.0,1116.109985,1333.0
2021-04-15,5222.0,374.0,11.15,0.0,1115.670044,1332.0
2021-04-16,5196.0,303.0,13.85,0.0,1115.670044,1332.0
2021-04-17,5196.0,91.0,11.45,0.0,1115.670044,1332.0
2021-04-18,5196.0,91.0,11.4,0.0,1115.650024,1332.0
2021-04-19,5258.0,399.0,14.35,0.0,1114.469971,1332.0
2021-04-20,5309.0,374.0,15.25,0.0,1116.109985,1332.0
2021-04-21,5287.0,290.0,16.3,0.0,1115.660034,1332.0
2021-04-22,5277.0,215.0,17.2,0.0,1118.589966,1332.0
2021-04-23,5277.0,284.0,16.4,0.0,1118.589966,1332.0
2021-04-24,5277.0,198.0,15.5,0.0,1118.589966,1332.0
2021-04-25,5277.0,198.0,13.65,0.0,1114.130005,1331.0
2021-04-26,5289.0,377.0,14.0,0.0,1109.22998,1332.0
2021-04-27,5181.0,330.0,16.85,0.0,1112.150024,1332.0
2021-04-28,5172.0,344.0,17.65,0.0,1108.660034,1331.0
2021-04-29,5113.0,420.0,14.7,3.15,1106.630005,1331.0
2021-04-30,5227.0,331.0,12.85,16.95,1106.630005,1331.0
2021-05-01,5227.0,217.0,10.7,19.95,1106.630005,1331.0
2021-05-02,5227.0,217.0,12.6,6.5,1116.76001,1332.0
2021-05-03,5258.0,400.0,15.95,0.0,1120.400024,1332.0
2021-05-04,5243.0,414.0,18.4,15.85,1124.910034,1332.0
2021-05-05,5243.0,382.0,15.6,1.85,1123.98999,1332.0
2021-05-06,5234.0,329.0,17.1,0.0,1119.390015,1332.0
2021-05-07,5255.0,292.0,17.1,0.45,1119.390015,1332.0
2021-05-08,5255.0,214.0,16.65,0.0,1119.390015,1332.0
2021-05-09,5255.0,214.0,17.4,0.0,1111.969971,1332.0
2021-05-10,3826.0,528.0,17.2,0.0,1115.540039,1333.0
2021-05-11,3759.0,501.0,16.9,0.0,1118.22998,1334.0
2021-05-12,3393.0,439.0,17.9,0.0,1131.599976,1335.0
2021-05-13,3371.0,353.0,17.9,0.0,1125.699951,1336.0
2021-05-14,3311.0,418.0,19.45,0.0,1125.699951,1337.0
2021-05-15,3311.0,210.0,19.2,10.8,1125.699951,1337.0
2021-05-16,3311.0,210.0,17.0,51.7,1125.530029,1337.0
2021-05-17,3314.0,312.0,13.85,5.25,1135.51001,1338.0
2021-05-18,3314.0,425.0,16.85,0.0,1127.140015,1339.0
2021-05-19,3314.0,283.0,21.7,0.0,1130.369995,1340.0
2021-05-20,3233.0,298.0,17.3,9.15,1127.050049,1341.0
2021-05-21,3211.0,256.0,15.85,7.85,1127.050049,1342.0
2021-05-22,3211.0,335.0,20.7,0.0,1127.050049,1342.0
2021-05-23,3211.0,335.0,22.65,0.0,1126.790039,1342.0
2021-05-24,3178.0,472.0,20.25,0.0,1122.189941,1343.0
2021-05-25,3170.0,396.0,16.45,0.15,1121.380005,1344.0
2021-05-26,3185.0,339.0,18.95,0.0,1115.52002,1345.0
2021-05-27,3282.0,293.0,17.05,0.65,1117.300049,1346.0
2021-05-28,3224.0,306.0,16.75,8.1,1117.300049,1347.0
2021-05-29,3224.0,304.0,17.45,1.3,1117.300049,1347.0
2021-05-30,3224.0,304.0,19.65,0.0,1112.849976,1348.0
2021-05-31,3230.0,370.0,19.45,3.65,1106.97998,1349.0
2021-06-01,3245.0,468.0,20.9,0.05,1107.209961,1351.0
2021-06-02,3241.0,339.0,21.65,0.0,1109.880005,1352.0
2021-06-03,3261.0,333.0,19.65,14.0,1115.439941,1353.0
2021-06-04,3256.0,238.0,20.15,1.0,1115.439941,1355.0
2021-06-05,3256.0,372.0,21.8,0.0,1115.439941,1357.0
2021-06-06,3256.0,372.0,23.55,0.0,1109.680054,1357.0
2021-06-07,3243.0,359.0,23.55,0.0,1109.319946,1359.0
2021-06-08,3235.0,340.0,23.1,0.0,1116.890015,1361.0
2021-06-09,3258.0,401.0,23.3,0.0,1116.410034,1363.0
2021-06-10,3300.0,230.0,21.25,15.9,1111.26001,1364.0
2021-06-11,3303.0,372.0,24.15,16.25,1111.26001,1366.0
2021-06-12,3303.0,125.0,24.2,0.0,1111.26001,1368.0
2021-06-13,3303.0,125.0,22.35,0.0,1115.550049,1369.0
2021-06-14,3266.0,606.0,22.05,0.0,1116.319946,1371.0
2021-06-15,3245.0,406.0,21.1,8.15,1116.030029,1373.0
2021-06-16,3191.0,554.0,21.55,7.1,1131.949951,1375.0
2021-06-17,3182.0,387.0,20.55,0.0,1133.540039,1377.0
2021-06-18,3182.0,346.0,22.7,0.4,1133.540039,1378.0
2021-06-19,3182.0,265.0,22.45,0.0,1133.540039,1380.0
2021-06-20,3182.0,265.0,23.15,0.0,1134.25,1380.0
2021-06-21,3214.0,454.0,21.55,0.0,1130.339966,1382.0
2021-06-22,3196.0,426.0,20.6,0.1,1132.51001,1384.0
2021-06-23,3196.0,441.0,20.65,0.0,1132.609985,1386.0
2021-06-24,3187.0,479.0,22.0,0.0,1130.800049,1388.0
2021-06-25,3125.0,424.0,23.4,0.0,1130.800049,1390.0
2021-06-26,3125.0,315.0,22.8,1.05,1130.800049,1392.0
2021-06-27,3125.0,315.0,23.4,0.0,1125.339966,1393.0
2021-06-28,3106.0,495.0,22.7,15.8,1129.040039,1395.0
2021-06-29,3124.0,512.0,22.65,0.0,1130.51001,1398.0
2021-06-30,3124.0,505.0,22.95,0.15,1129.599976,1399.0
2021-07-01,3144.0,518.0,24.4,0.0,1132.410034,1403.0
2021-07-02,3199.0,621.0,23.85,0.0,1132.410034,1405.0
2021-07-03,3199.0,514.0,22.85,40.4,1132.410034,1406.0
2021-07-04,3199.0,514.0,22.35,23.15,1129.77002,1407.0
