날짜,가격,총반입량,기온,강수량,환율,경유가격
2020-12-31,2430.0,625.0,-3.5,0.566666667,1086.420044,1220.0
2021-01-01,2430.0,625.0,-2.8,0.0,1084.650024,1224.0
2021-01-02,2430.0,625.0,-1.15,0.1,1084.650024,1226.0
2021-01-03,2430.0,625.0,-0.65,0.0,1084.650024,1227.0
2021-01-04,2456.0,719.0,-0.8,0.0,1084.72998,1229.0
2021-01-05,2465.0,624.0,-0.4,0.1,1086.619995,1231.0
2021-01-06,2493.0,655.0,-3.95,0.433333333,1086.449951,1232.0
2021-01-07,2519.0,529.0,-8.05,0.8,1086.949951,1234.0
2021-01-08,2521.0,548.0,-9.55,0.3,1093.069946,1235.0
2021-01-09,2521.0,142.0,-8.0,0.766666667,1093.069946,1236.0
2021-01-10,2521.0,142.0,-5.4,0.0333333333,1093.069946,1237.0
2021-01-11,2541.0,527.0,-4.5,0.0,1092.819946,1238.0
2021-01-12,2547.0,734.0,-2.65,0.0666666667,1096.449951,1239.0
2021-01-13,2575.0,543.0,2.75,0.0,1093.540039,1240.0
2021-01-14,2748.0,578.0,2.95,0.0,1097.109985,1242.0
2021-01-15,2791.0,664.0,6.2,0.0,1094.900024,1244.0
2021-01-16,2791.0,592.0,1.7,0.0,1094.900024,1245.0
2021-01-17,2791.0,592.0,-2.4,0.166666667,1094.900024,1245.0
2021-01-18,2844.0,749.0,-1.7,1.933333333,1102.959961,1246.0
2021-01-19,2922.0,645.0,-3.35,0.0,1103.099976,1247.0
2021-01-20,2937.0,567.0,-1.8,0.0,1100.98999,1248.0
2021-01-21,3127.0,763.0,3.4,3.366666667,1096.25,1249.0
2021-01-22,3137.0,490.0,7.5,2.366666667,1099.900024,1249.0
2021-01-23,3137.0,598.0,8.95,5.033333333,1099.900024,1250.0
2021-01-24,3137.0,598.0,7.1,0.0,1099.900024,1250.0
2021-01-25,3163.0,634.0,6.3,0.0,1104.640015,1250.0
2021-01-26,3163.0,636.0,5.05,10.0,1101.72998,1250.0
2021-01-27,3163.0,501.0,4.65,0.0,1101.0,1251.0
2021-01-28,3242.0,628.0,0.65,0.333333333,1107.5,1251.0
2021-01-29,3313.0,651.0,-3.6,0.2,1112.290039,1251.0
2021-01-30,3313.0,335.0,0.0,0.0,1112.290039,1251.0
2021-01-31,3313.0,335.0,2.6,1.0,1112.290039,1251.0
2021-02-01,3320.0,666.0,7.35,12.23333333,1117.430054,1252.0
2021-02-02,3311.0,810.0,-0.25,0.0,1116.880005,1252.0
2021-02-03,3313.0,722.0,-1.05,0.0,1113.609985,1252.0
2021-02-04,3313.0,685.0,1.45,1.133333333,1113.150024,1252.0
2021-02-05,3315.0,724.0,0.8,0.0,1119.130005,1253.0
2021-02-06,3315.0,620.0,4.0,0.0,1119.130005,1253.0
2021-02-07,3315.0,620.0,6.7,0.0,1119.130005,1253.0
2021-02-08,3341.0,835.0,0.95,0.0,1116.849976,1254.0
2021-02-09,3336.0,816.0,0.65,0.0,1116.329956,1255.0
2021-02-10,3343.0,541.0,2.35,0.0,1110.0,1257.0
2021-02-11,3343.0,541.0,4.1,0.0,1103.97998,1258.0
2021-02-12,3343.0,541.0,5.4,0.0,1102.219971,1259.0
2021-02-13,3343.0,541.0,6.6,0.0,1102.219971,1259.0
2021-02-14,3343.0,541.0,7.85,2.233333333,1102.219971,1259.0
2021-02-15,3349.0,558.0,5.15,0.266666667,1103.369995,1261.0
2021-02-16,3343.0,596.0,0.1,0.6,1102.23999,1263.0
2021-02-17,3314.0,555.0,-4.6,0.166666667,1106.459961,1264.0
2021-02-18,3338.0,412.0,-3.6,0.2,1104.550049,1266.0
2021-02-19,3328.0,385.0,2.8,0.0,1106.219971,1268.0
2021-02-20,3328.0,487.0,9.15,0.0,1106.219971,1269.0
2021-02-21,3328.0,487.0,12.1,0.0,1106.219971,1270.0
